Date,GRA Purchases,PRGT 1/2/,Totals,Totals_bil_SDR,Year,Conversion rate,,Totals_USD,World GDP,World aggregate real GDP (billion USD),,Total_USD/GDP,Percentage,,World nominal GDP,,,Percentages
08/31/2022,93769635059,15254184552,1.09024E+11,109.02,2022,1.28252,,139.8203304,8.67E+13,86652.9,0.001258123,0.001613568,0.161356781,,9.81E+13,98100,0.001425284,0.142528369
12/31/2021,89474552025,14554823681,1.04029E+11,104.03,2021,1.40098,,145.7439494,8.67E+13,86652.9,0.001200537,0.001681928,0.168192812,,9.61E+13,96100,0.001516586,0.151658636
12/31/2020,93408630285,12481816684,1.0589E+11,105.89,2020,1.44878,,153.4113142,8.19E+13,81901,0.001292902,0.001873131,0.187313115,,8.4907E+13,84907,0.001806816,0.180681586
12/31/2019,66945509865,6590835450,73536345315,73.54,2019,1.38283,,101.6933182,8.47E+13,84670.7,0.000868541,0.001201045,0.120104497,,8.7653E+13,87653,0.001160181,0.116018069
12/31/2018,55395611392,6426181029,61821792421,61.82,2018,1.39079,,85.9786378,8.25E+13,82513.1,0.000749214,0.001042,0.104199985,,8.6413E+13,86413,0.000994973,0.099497342
12/31/2017,39585385873,6522280669,46107666542,46.11,2017,1.42413,,65.6666343,7.99E+13,79895.2,0.000577131,0.00082191,0.082190963,,8.1404E+13,81404,0.000806676,0.080667577
12/31/2016,49267630851,6482647937,55750278788,55.75,2016,1.34433,,74.9463975,7.73E+13,77283.5,0.00072137,0.000969759,0.096975936,,7.6466E+13,76466,0.000980127,0.098012708
12/31/2015,50757840741,6575911158,57333751899,57.33,2015,1.38573,,79.4439009,7.52E+13,75179.3,0.000762577,0.001056726,0.105672573,,7.5179E+13,75179,0.00105673,0.105672995
12/31/2014,69041563463,6292755583,75334319046,75.33,2014,1.44881,,109.1388573,7.29E+13,72932.2,0.001032877,0.001496443,0.149644269,,7.9709E+13,79709,0.001369216,0.136921624
12/31/2013,83899249061,6174392682,90073641743,90.07,2013,1.54,,138.7078,7.08E+13,70769.5,0.001272723,0.001959994,0.195999407,,7.7607E+13,77607,0.00178731,0.178731042
