Country,Disposable income,Students in post-compulsory education %
Austria,14389.9,13.1
Croatia,2715.8,11.7
Cyprus,10327.7,11.6
Denmark,16082.1,18.6
Estonia,3900.8,12.8
Finland,13299.6,19.9
France,15864.3,10.7
Germany,9140.3,12.6
Greece,4583.4,14.4
Hungary,3057.3,8.5
Ireland,13385.3,20.3
Latvia,2794,12
Lithuania,2549.7,14.4
Luxembourg,26307.5,7.9
Malta,8946.8,8.3
Netherlands,16014.6,12.3
Poland,4151.1,12.9
Portugal,5496,12.4
Slovakia,6092.6,9.9
Slovenia,6400.6,12.5
Spain,7465.2,12.1
Sweden,13423.6,18.3
United Kingdom,12156.9,12.5
